board,tempP1,,,,,
1,-1.438183,,,,,
2,-0.397457,,,,,
3,-1.539055,,,,,
4,-0.444807,,,,,
5,-1.606353,,,,,
6,-2.859282,,,,,
7,-3.20764,,,,,
8,-3.042981,,,,,
9,-1.692145,,,,,
10,-2.698774,,,,,
11,0.097688,,,,,
12,-1.408884,,,,,
13,-0.181101,,,,,
14,-1.352785,,,,,
15,-0.354546,,,,,
16,-1.2468,,,,,
17,-2.724514,,,,,
18,-2.704611,,,,,
19,-2.738112,,,,,
20,-1.511978,,,,,
21,-2.543584,,,,,
board,channel,totMax,totMean,totP1,tempP1,toaMean3
0,0,865,674.789,-0.26347,-0.0812654,55759.4
0,1,880,674.229,-0.228056,0.0301598,55678
0,2,865,665.36,-0.234398,-1.28553,54715.3
0,3,940,720.625,-0.249027,-2.13221,54275.2
0,4,925,727.334,-0.236352,-1.6393,54814.9
1,0,805,687.363,-0.387748,0.517417,43937.5
1,1,835,743.096,-0.362745,-0.108043,43653.5
1,2,820,728.393,-0.323026,1.09823,44820.9
1,3,940,803.937,-0.267329,1.30596,44576.9
1,4,865,764.224,-0.331369,-1.43942,42784.8
1,5,1000,903.362,-0.280237,-0.185588,43735.7
1,6,955,871.398,-0.348572,-1.30251,43575.5
1,7,895,806.387,-0.39616,-0.73532,43030.3
1,8,865,750.513,-0.305513,-0.638131,43389.8
1,9,895,798.699,-0.348028,-0.995293,43066.6
1,10,895,806.669,-0.355175,-0.870813,43498.26
1,11,910,819.384,-0.360345,0.614209,43861.2
1,12,835,708.029,-0.397292,-2.10906,42203.5
1,13,865,759.588,-0.361819,-2.00863,42740.2
1,14,865,769.385,-0.370817,-1.83482,43025.8
1,15,850,744.831,-0.346087,-1.11958,42917.5
1,16,865,723.449,-0.371021,-1.618,43054.9
1,17,895,742.541,-0.340052,-1.58589,42894.8
1,18,895,735.677,-0.409657,-0.973898,43304.3
1,19,895,720.147,-0.393666,-1.41925,42488.8
1,20,925,784.162,-0.420582,-1.70099,42277
1,21,955,799.925,-0.398956,-1.62357,42435.1
1,22,910,740.999,-0.320119,-0.99411,43066.4
1,23,835,675.91,-0.367873,-0.792016,43016.8
1,24,925,757.014,-0.336186,-1.32205,42841.9
1,25,955,807.183,-0.344052,-0.937289,43204
1,26,925,761.304,-0.342707,-0.867267,43132.7
1,27,910,738.743,-0.326957,-0.279636,43334.9
1,28,955,779.547,-0.34434,0.464105,43757.9
1,29,865,695.581,-0.356732,-0.506887,43024.7
1,30,835,703.971,-0.398626,-0.548092,43352.7
1,31,865,698.279,-0.33948,0.922678,43922.5
2,0,805,699.372,-0.380762,0.307131,44189.7
2,1,820,743.958,-0.40222,0.730051,44557.2
2,2,865,763.723,-0.31231,1.00228,44596.4
2,3,850,731.712,-0.310319,1.15924,44848.7
2,4,895,778.625,-0.377057,-1.53294,42914.5
2,5,895,774.192,-0.305802,-0.953478,43528.8
2,6,910,817.051,-0.356692,-1.01933,43451.32
2,7,880,769.909,-0.336765,-1.49931,43029.8
2,8,865,750.457,-0.33724,-0.601215,43980.6
2,9,895,800.055,-0.365721,-1.3319,43175
2,10,895,805.817,-0.361916,-0.896407,43271.13
2,11,895,790.865,-0.359689,-0.25606,43866.8
2,12,865,756.522,-0.49182,-2.28277,42367.6
2,13,865,772.917,-0.414666,-1.71691,43066
2,14,865,750.713,-0.435355,-2.01525,43202.87
2,15,835,724.515,-0.398007,-2.14867,42765.5
2,16,880,793.155,-0.339227,-1.81398,43143
2,17,880,793.151,-0.36082,-1.79527,42944.3
2,18,835,744.993,-0.378467,-1.72901,42914
2,19,790,683.828,-0.394351,-1.66682,42636.5
2,20,925,836.658,-0.343099,-1.89749,42798.6
2,21,925,825.165,-0.293478,-1.79393,42713.6
2,22,880,803.234,-0.310101,-1.25639,42780.7
2,23,820,714.51,-0.359891,-1.04745,43093.5
2,24,910,810.514,-0.335819,-1.78322,42992.1
2,25,850,728.841,-0.283459,-0.741154,43500.7
2,26,895,794.586,-0.317704,-0.262375,43388.9
2,27,805,688.429,-0.340402,-1.14927,43058.5
2,28,850,724.016,-0.304013,0.172194,43926.7
2,29,805,695.477,-0.353164,-0.819155,43238.9
2,30,790,698.938,-0.396721,-0.101933,43785.7
2,31,790,679.151,-0.38263,0.727166,44043.3
3,0,865,770.48,-0.400738,0.147134,43910.1
3,1,850,764.603,-0.386022,-0.115743,43813
3,2,835,743.401,-0.378331,0.648461,44364.8
3,3,850,761.703,-0.379845,1.02347,44574.6
3,4,895,788.927,-0.400348,-1.69675,42773.5
3,5,895,796.171,-0.371903,-1.03456,43324.6
3,6,865,768.775,-0.434126,-1.45978,43221.7
3,7,850,772.078,-0.412069,-1.76189,42804.3
3,8,895,782.259,-0.35614,-0.0779657,43884.2
3,9,850,751.022,-0.371607,-1.41975,42943.3
3,10,865,772.544,-0.403282,-1.12653,43162.7
3,11,835,744.958,-0.393528,-1.24145,42988
3,12,850,738.769,-0.367934,-2.53393,42185.9
3,13,880,772.023,-0.438993,-2.13244,42659.3
3,14,835,737.353,-0.416795,-2.05887,42679.5
3,15,820,732.662,-0.425785,-2.13645,42521
3,16,910,795.133,-0.416385,-1.68186,43073.6
3,17,880,764.909,-0.417681,-1.8152,42901.1
3,18,850,740.734,-0.425591,-1.25288,42808
3,19,820,704.951,-0.427483,-1.70166,42466.1
3,20,895,778.722,-0.404903,-2.11028,42302.4
3,21,880,771.391,-0.394355,-1.85623,42467.8
3,22,835,752.879,-0.438217,-1.09927,42975.3
3,23,850,763.687,-0.4562,-1.06449,42995.3
3,24,895,785.293,-0.379318,-1.11216,43219.2
3,25,880,756.491,-0.379343,-0.154357,43902.9
3,26,880,778.06,-0.421197,-1.46695,42669.7
3,27,820,723.292,-0.418669,-1.2684,42806.1
3,28,895,788.697,-0.37806,0.203234,43742.8
3,29,820,734.035,-0.441497,-0.726518,43130
3,30,820,734.133,-0.439063,-0.74942,43084.1
3,31,835,736.208,-0.408978,0.325488,43854.1
4,0,880,772.413,-0.373354,0.173338,44534.1
4,1,895,794.441,-0.340938,0.810184,44992
4,2,910,799.549,-0.313996,0.87643,45285
4,3,910,775.311,-0.280876,0.697135,45184.7
4,4,940,820.605,-0.332681,-1.62793,43384.9
4,5,955,832.257,-0.270379,-1.21886,43871.9
4,6,895,789.269,-0.352981,-1.36503,44398.2
4,7,895,780.024,-0.355216,-1.55927,43537.3
4,8,910,804.783,-0.340485,-1.00182,44004.6
4,9,925,821.708,-0.326101,-0.53064,44286.9
4,10,880,757.52,-0.341819,-1.1549,43402.4
4,11,880,754.544,-0.330068,-0.99306,43788.2
4,12,835,726.797,-0.365339,-2.16624,42945.8
4,13,865,750.167,-0.386385,-1.69406,43582.9
4,14,910,794.651,-0.341033,-1.34632,44324.7
4,15,865,739.61,-0.32327,-1.86957,43188.8
4,16,895,771.758,-0.370833,-1.39452,43619.4
4,17,865,761.557,-0.329849,-1.41961,43684.1
4,18,880,784.545,-0.332647,-1.26053,43784.42
4,19,820,716.679,-0.292526,-1.59373,43020.8
4,20,865,752.897,-0.360305,-1.64874,43160.4
4,21,895,784.447,-0.35068,-1.78045,43091.4
4,22,865,780.229,-0.373725,-1.26667,43572.4
4,23,880,792.355,-0.362826,-1.07305,43368.4
4,24,910,780.251,-0.324175,-1.64435,43382.8
4,25,910,791.967,-0.284984,-0.790717,43865.2
4,26,895,792.645,-0.348217,-1.20586,44210
4,27,865,773.757,-0.308522,-1.06138,43424.3
4,28,865,747.279,-0.310517,0.266587,44453.8
4,29,850,747.409,-0.396604,-0.79699,43619.6
4,30,805,734.833,-0.417903,-0.4552,43913.55
4,31,820,723.469,-0.355905,0.931652,44621.6
5,0,865,760.044,-0.37276,0.598867,44452.2
5,1,865,777.327,-0.414032,0.328775,44337.5
5,2,865,766.7,-0.377524,1.14863,44919.4
5,3,850,738.081,-0.353241,1.2285,45017.3
5,4,925,801.202,-0.366175,-1.21016,43138.4
5,5,910,792.232,-0.320451,-0.780413,43741.1
5,6,925,807.563,-0.38052,-1.13139,43862.98
5,7,925,815.488,-0.391571,-1.26135,43293.5
5,8,910,807.13,-0.357818,-0.437185,43766.4
5,9,895,783.388,-0.378942,-1.03099,43474.7
5,10,910,786.233,-0.371976,-0.812438,43621.87
5,11,880,754.65,-0.393671,-0.676915,43614.2
5,12,880,762.013,-0.43282,-2.08021,42705.2
5,13,880,773.951,-0.426161,-1.80887,43156.5
5,14,820,678.202,-0.376732,-1.66832,42984.17
5,15,850,746.051,-0.437528,-1.57537,42942.5
5,16,925,845.564,-0.388583,-1.47335,43358.7
5,17,910,829.168,-0.366031,-1.42663,43286.2
5,18,895,807.316,-0.400778,-1.18572,43122.1
5,19,835,751.896,-0.371071,-1.46815,42873.4
5,20,910,828.215,-0.38085,-1.67924,42778.6
5,21,925,825.249,-0.377483,-1.45408,42860.2
5,22,865,769.097,-0.338304,-1.02509,43077.8
5,23,865,777.221,-0.348366,-0.585286,43451.4
5,24,925,818.06,-0.3176,-1.24624,43233.6
5,25,925,822.912,-0.310236,-0.596143,43773.7
5,26,910,810.222,-0.335728,-0.825393,43182
5,27,865,780.61,-0.357501,-1.03766,43212
5,28,850,710.959,-0.330376,0.549089,44184.9
5,29,805,695.465,-0.396358,-0.838363,43329.6
5,30,790,698.999,-0.393294,-0.541487,43362.4
